,match_date,section_no,match_index_in_section,start_time,stadium,home_team,home_goal,away_goal,away_team,status
276,2025/08/30,28,7,19:00,アシさと,今治,,,いわき,ＶＳ
277,2025/08/31,28,8,18:00,ピースタ,長崎,,,藤枝,ＶＳ
278,2025/08/31,28,9,19:00,ニンスタ,愛媛,,,仙台,ＶＳ
279,2025/08/31,28,10,19:00,クラド,大分,,,磐田,ＶＳ
280,2025/09/13,29,1,未定,プレド,札幌,,,いわき,ＶＳ
281,2025/09/13,29,2,未定,ユアスタ,仙台,,,水戸,ＶＳ
282,2025/09/13,29,3,未定,ＮＡＣＫ,大宮,,,長崎,ＶＳ
283,2025/09/13,29,4,未定,ＪＩＴス,甲府,,,鳥栖,ＶＳ
284,2025/09/13,29,5,未定,ヤマハ,磐田,,,今治,ＶＳ
285,2025/09/13,29,6,未定,藤枝サ,藤枝,,,大分,ＶＳ
286,2025/09/14,29,7,未定,ソユスタ,秋田,,,愛媛,ＶＳ
287,2025/09/14,29,8,未定,ＮＤスタ,山形,,,富山,ＶＳ
288,2025/09/14,29,9,未定,みらスタ,山口,,,千葉,ＶＳ
289,2025/09/15,29,10,未定,えがおＳ,熊本,,,徳島,ＶＳ
290,2025/09/20,30,1,未定,ユアスタ,仙台,,,山形,ＶＳ
291,2025/09/20,30,2,未定,ハワスタ,いわき,,,水戸,ＶＳ
292,2025/09/20,30,3,未定,ＮＡＣＫ,大宮,,,今治,ＶＳ
293,2025/09/20,30,4,未定,ＪＩＴス,甲府,,,秋田,ＶＳ
294,2025/09/20,30,5,未定,藤枝サ,藤枝,,,磐田,ＶＳ
295,2025/09/20,30,6,未定,鳴門大塚,徳島,,,札幌,ＶＳ
296,2025/09/20,30,7,未定,ニンスタ,愛媛,,,千葉,ＶＳ
297,2025/09/20,30,8,未定,駅スタ,鳥栖,,,熊本,ＶＳ
298,2025/09/20,30,9,未定,ピースタ,長崎,,,富山,ＶＳ
299,2025/09/20,30,10,未定,クラド,大分,,,山口,ＶＳ
300,2025/09/27,31,1,未定,プレド,札幌,,,仙台,ＶＳ
301,2025/09/27,31,2,未定,ＮＤスタ,山形,,,山口,ＶＳ
302,2025/09/27,31,3,未定,ハワスタ,いわき,,,甲府,ＶＳ
303,2025/09/27,31,4,未定,フクアリ,千葉,,,熊本,ＶＳ
304,2025/09/27,31,5,未定,ヤマハ,磐田,,,大宮,ＶＳ
305,2025/09/27,31,6,未定,アシさと,今治,,,鳥栖,ＶＳ
306,2025/09/27,31,7,未定,クラド,大分,,,愛媛,ＶＳ
307,2025/09/28,31,8,未定,ソユスタ,秋田,,,長崎,ＶＳ
308,2025/09/28,31,9,未定,Ｋｓスタ,水戸,,,藤枝,ＶＳ
309,2025/09/28,31,10,未定,富山,富山,,,徳島,ＶＳ
310,2025/10/04,32,1,未定,プレド,札幌,,,山形,ＶＳ
311,2025/10/04,32,2,未定,ユアスタ,仙台,,,大宮,ＶＳ
312,2025/10/04,32,3,未定,フクアリ,千葉,,,長崎,ＶＳ
313,2025/10/04,32,4,未定,ＪＩＴス,甲府,,,磐田,ＶＳ
314,2025/10/04,32,5,未定,藤枝サ,藤枝,,,富山,ＶＳ
315,2025/10/05,32,6,未定,ソユスタ,秋田,,,大分,ＶＳ
316,2025/10/05,32,7,未定,みらスタ,山口,,,鳥栖,ＶＳ
317,2025/10/05,32,8,未定,鳴門大塚,徳島,,,今治,ＶＳ
318,2025/10/05,32,9,未定,ニンスタ,愛媛,,,水戸,ＶＳ
319,2025/10/05,32,10,未定,えがおＳ,熊本,,,いわき,ＶＳ
320,2025/10/18,33,1,未定,ハワスタ,いわき,,,愛媛,ＶＳ
321,2025/10/18,33,2,未定,ＮＡＣＫ,大宮,,,藤枝,ＶＳ
322,2025/10/18,33,3,未定,ヤマハ,磐田,,,徳島,ＶＳ
323,2025/10/18,33,4,未定,未定,鳥栖,,,秋田,ＶＳ
324,2025/10/18,33,5,未定,ピースタ,長崎,,,甲府,ＶＳ
325,2025/10/19,33,6,未定,ＮＤスタ,山形,,,熊本,ＶＳ
326,2025/10/19,33,7,未定,Ｋｓスタ,水戸,,,千葉,ＶＳ
327,2025/10/19,33,8,未定,富山,富山,,,札幌,ＶＳ
328,2025/10/19,33,9,未定,アシさと,今治,,,山口,ＶＳ
329,2025/10/19,33,10,未定,クラド,大分,,,仙台,ＶＳ
330,2025/10/25,34,1,未定,ユアスタ,仙台,,,鳥栖,ＶＳ
331,2025/10/25,34,2,未定,藤枝サ,藤枝,,,甲府,ＶＳ
332,2025/10/25,34,3,未定,ピースタ,長崎,,,今治,ＶＳ
333,2025/10/26,34,4,未定,プレド,札幌,,,水戸,ＶＳ
334,2025/10/26,34,5,未定,ソユスタ,秋田,,,千葉,ＶＳ
335,2025/10/26,34,6,未定,ＮＤスタ,山形,,,大宮,ＶＳ
336,2025/10/26,34,7,未定,みらスタ,山口,,,富山,ＶＳ
337,2025/10/26,34,8,未定,鳴門大塚,徳島,,,いわき,ＶＳ
338,2025/10/26,34,9,未定,ニンスタ,愛媛,,,磐田,ＶＳ
